Hxa_bar,Hxb_bar,azimuth,cov_group,d,date,days,dep,elevation,error_var,height,index,kind,lat,lon,next,number,platform_dir1,platform_dir2,platform_dir3,platform_height,platform_key,platform_lon,platform_lat,platform_nyquist,platform_vert_coord,previous,sdHxa,sdHxb,seconds,utime,value,vert_coord,x,x_m,y,y_m,z
,,-141.39896,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.700394,-97.98527,,,,,,,,,,,,,,,72000,1715198400,4.967743671371011,,-47500.0,,-59499.992,,1000
,,-138.3997,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.754387,-97.98527,,,,,,,,,,,,,,,72000,1715198400,4.523743106801646,,-47500.0,,-53499.992,,1000
,,-147.64215,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.646404,-97.91917,,,,,,,,,,,,,,,72000,1715198400,8.332844581543796,,-41500.0,,-65499.992,,1000
,,-145.10503,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.700394,-97.91917,,,,,,,,,,,,,,,72000,1715198400,3.2293828815099346,,-41500.0,,-59499.992,,1000
,,-142.19923,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.754387,-97.91917,,,,,,,,,,,,,,,72000,1715198400,5.3660867980137255,,-41500.0,,-53499.992,,1000
,,-138.8568,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.80838,-97.91917,,,,,,,,,,,,,,,72000,1715198400,9.400903702514086,,-41500.0,,-47500.0,,1000
,,-153.59543,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.59241,-97.85306,,,,,,,,,,,,,,,72000,1715198400,6.90579598572117,,-35500.0,,-71499.99,,1000
,,-151.54298,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.646404,-97.85306,,,,,,,,,,,,,,,72000,1715198400,8.591968984379378,,-35500.0,,-65499.992,,1000
,,-149.17805,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.700394,-97.85306,,,,,,,,,,,,,,,72000,1715198400,5.656229324922194,,-35500.0,,-59499.992,,1000
,,-146.43367,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.754387,-97.85306,,,,,,,,,,,,,,,72000,1715198400,7.099055457599519,,-35500.0,,-53499.992,,1000
,,-143.22673,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.80838,-97.85306,,,,,,,,,,,,,,,72000,1715198400,8.076460470228483,,-35500.0,,-47500.0,,1000
,,-139.4556,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.862373,-97.85306,,,,,,,,,,,,,,,72000,1715198400,7.961500394319387,,-35500.0,,-41500.0,,1000
,,-157.57956,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.59241,-97.78695,,,,,,,,,,,,,,,72000,1715198400,7.282196697828795,,-29500.0,,-71499.99,,1000
,,-155.75407,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.646404,-97.78695,,,,,,,,,,,,,,,72000,1715198400,9.6348652413497,,-29500.0,,-65499.992,,1000
,,-153.62785,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.700394,-97.78695,,,,,,,,,,,,,,,72000,1715198400,6.419131417178633,,-29500.0,,-59499.992,,1000
,,-151.12758,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.754387,-97.78695,,,,,,,,,,,,,,,72000,1715198400,8.571176458960451,,-29500.0,,-53499.992,,1000
,,-148.15753,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.80838,-97.78695,,,,,,,,,,,,,,,72000,1715198400,9.021619340178432,,-29500.0,,-47500.0,,1000
,,-144.59312,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.862373,-97.78695,,,,,,,,,,,,,,,72000,1715198400,8.447468290339884,,-29500.0,,-41500.0,,1000
,,-161.80579,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.59241,-97.72085,,,,,,,,,,,,,,,72000,1715198400,7.81796102165913,,-23500.0,,-71499.99,,1000
,,-160.26309,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.646404,-97.72085,,,,,,,,,,,,,,,72000,1715198400,8.716056681973214,,-23500.0,,-65499.992,,1000
,,-158.44806,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.700394,-97.72085,,,,,,,,,,,,,,,72000,1715198400,6.730386686755537,,-23500.0,,-59499.992,,1000
,,-156.28639,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.754387,-97.72085,,,,,,,,,,,,,,,72000,1715198400,8.317388034860187,,-23500.0,,-53499.992,,1000
,,-153.6767,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.80838,-97.72085,,,,,,,,,,,,,,,72000,1715198400,8.672354761379893,,-23500.0,,-47500.0,,1000
,,-150.47864,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.862373,-97.72085,,,,,,,,,,,,,,,72000,1715198400,7.254285091635722,,-23500.0,,-41500.0,,1000
,,-146.49657,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.91637,-97.72085,,,,,,,,,,,,,,,72000,1715198400,7.313132992817486,,-23500.0,,-35500.0,,1000
,,-166.24693,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.59241,-97.65474,,,,,,,,,,,,,,,72000,1715198400,8.158813267447727,,-17499.984,,-71499.99,,1000
,,-165.04138,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.646404,-97.65474,,,,,,,,,,,,,,,72000,1715198400,9.002428999650988,,-17499.984,,-65499.992,,1000
,,-163.61046,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.700394,-97.65474,,,,,,,,,,,,,,,72000,1715198400,7.154821586712714,,-17499.984,,-59499.992,,1000
,,-161.88695,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.754387,-97.65474,,,,,,,,,,,,,,,72000,1715198400,8.68200045359174,,-17499.984,,-53499.992,,1000
,,-159.77515,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.80838,-97.65474,,,,,,,,,,,,,,,72000,1715198400,8.55669610047579,,-17499.984,,-47500.0,,1000
,,-157.1355,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.862373,-97.65474,,,,,,,,,,,,,,,72000,1715198400,8.15720813145009,,-17499.984,,-41500.0,,1000
,,-169.06091,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.700394,-97.58864,,,,,,,,,,,,,,,72000,1715198400,8.444468716908432,,-11499.984,,-59499.992,,1000
,,-167.8687,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.754387,-97.58864,,,,,,,,,,,,,,,72000,1715198400,8.588652237293843,,-11499.984,,-53499.992,,1000
,,-166.39029,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.80838,-97.58864,,,,,,,,,,,,,,,72000,1715198400,8.62411629275482,,-11499.984,,-47500.0,,1000
,,-174.71877,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.700394,-97.52254,,,,,,,,,,,,,,,72000,1715198400,8.604730061235614,,-5499.9844,,-59499.992,,1000
,,-174.1304,,,2024-05-08 20:00:00,633344000,,0,4,1000,,11,34.754387,-97.52254,,,,,,,,,,,,,,,72000,1715198400,8.915170555411237,,-5499.9844,,-53499.992,,1000
,,-141.39896,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.700394,-97.98527,,,,,,,,,,,,,,,72000,1715198400,30.20991325378418,,-47500.0,,-59499.992,,1000
,,-138.3997,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.754387,-97.98527,,,,,,,,,,,,,,,72000,1715198400,40.74007034301758,,-47500.0,,-53499.992,,1000
,,-147.64215,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.646404,-97.91917,,,,,,,,,,,,,,,72000,1715198400,6.78851842880249,,-41500.0,,-65499.992,,1000
,,-145.10503,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.700394,-97.91917,,,,,,,,,,,,,,,72000,1715198400,31.972183227539062,,-41500.0,,-59499.992,,1000
,,-142.19923,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.754387,-97.91917,,,,,,,,,,,,,,,72000,1715198400,41.844322204589844,,-41500.0,,-53499.992,,1000
,,-138.8568,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.80838,-97.91917,,,,,,,,,,,,,,,72000,1715198400,30.731632232666016,,-41500.0,,-47500.0,,1000
,,-153.59543,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.59241,-97.85306,,,,,,,,,,,,,,,72000,1715198400,12.261489868164062,,-35500.0,,-71499.99,,1000
,,-151.54298,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.646404,-97.85306,,,,,,,,,,,,,,,72000,1715198400,26.720598220825195,,-35500.0,,-65499.992,,1000
